QA output created by 1398

pcp-pidstat output: set reporting timezone to one for your choice
Linux  3.10.0-693.el7.x86_64  (localhost.localdomain)  06/20/18  x86_64    (4 CPU)
Timestamp        UID	PID	usr	system	guest	%CPU	CPU	Command
09:47:42         0	427	0.0	0.0	0.0	0.0	0	xfsaild/dm-0
09:47:42         0	499	0.1	0.6	0.0	0.7	2	systemd-journal
09:47:42         0	522	0.0	0.0	0.0	0.0	0	rpciod
09:47:42         0	523	0.0	0.0	0.0	0.0	0	xprtiod
09:47:42         0	533	0.0	0.0	0.0	0.0	1	lvmetad
09:47:42         0	540	0.0	0.2	0.0	0.2	0	systemd-udevd
09:47:42         0	585	0.0	0.0	0.0	0.0	2	kworker/2:2
09:47:42         0	609	0.0	0.0	0.0	0.0	1	kworker/1:3
09:47:42         0	635	0.0	0.0	0.0	0.0	1	xfs-buf/sda1
09:47:42         0	636	0.0	0.0	0.0	0.0	1	xfs-data/sda1
09:47:42         0	637	0.0	0.0	0.0	0.0	1	xfs-conv/sda1
09:47:42         0	638	0.0	0.0	0.0	0.0	1	xfs-cil/sda1
09:47:42         0	639	0.0	0.0	0.0	0.0	1	xfs-reclaim/sda
09:47:42         0	640	0.0	0.0	0.0	0.0	1	xfs-log/sda1
09:47:42         0	641	0.0	0.0	0.0	0.0	1	xfs-eofblocks/s
09:47:42         0	642	0.0	0.0	0.0	0.0	0	xfsaild/sda1
09:47:42         0	644	0.0	0.0	0.0	0.0	1	kworker/1:4
09:47:42         0	677	0.0	0.0	0.0	0.0	3	auditd
09:47:42         0	679	0.0	0.0	0.0	0.0	3	audispd
09:47:42         0	681	0.0	0.0	0.0	0.0	3	sedispatch
09:47:42         0	702	0.0	0.1	0.0	0.1	3	systemd-logind
09:47:42         0	704	0.0	0.0	0.0	0.0	3	rngd
09:47:42         0	705	0.0	0.0	0.0	0.0	1	alsactl
09:47:42         81	706	1.7	0.7	0.0	2.4	3	dbus-daemon
09:47:42         70	711	0.0	0.0	0.0	0.0	3	avahi-daemon
09:47:42         0	712	0.0	0.0	0.0	0.0	0	smartd
09:47:42         0	714	0.0	0.0	0.0	0.0	3	abrtd
09:47:42         998	716	0.0	0.0	0.0	0.0	0	lsmd
09:47:42         0	717	0.1	0.1	0.0	0.2	3	rsyslogd
09:47:42         0	718	0.0	0.0	0.0	0.0	1	ModemManager
09:47:42         172	719	0.0	0.1	0.0	0.1	3	rtkit-daemon
09:47:42         0	720	0.1	0.0	0.0	0.1	0	accounts-daemon
09:47:42         999	721	0.2	0.2	0.0	0.4	3	polkitd
09:47:42         0	722	0.0	0.0	0.0	0.0	3	abrt-watch-log
09:47:42         0	723	0.0	0.1	0.0	0.1	2	abrt-watch-log
09:47:42         0	724	0.0	0.0	0.0	0.0	3	irqbalance
09:47:42         0	737	0.0	0.0	0.0	0.0	1	mcelog
09:47:42         0	750	0.0	0.0	0.0	0.0	3	ksmtuned
09:47:42         0	751	0.0	0.0	0.0	0.0	1	sleep
09:47:42         0	754	0.0	0.1	0.0	0.1	2	spice-vdagentd
09:47:42         70	757	0.0	0.0	0.0	0.0	0	avahi-daemon
09:47:42         0	771	0.0	0.0	0.0	0.0	1	gssproxy
09:47:42         0	781	0.1	0.0	0.0	0.1	3	firewalld
09:47:42         0	792	0.2	0.1	0.0	0.3	3	NetworkManager
09:47:42         0	823	0.0	0.0	0.0	0.0	2	kworker/2:3
09:47:42         0	828	0.0	0.0	0.0	0.0	1	systemd-hostnam
09:47:42         0	917	0.0	0.0	0.0	0.0	0	dhclient
09:47:42         0	1112	0.0	0.0	0.0	0.0	0	tuned
09:47:42         0	1118	0.0	0.0	0.0	0.0	1	sshd
09:47:42         0	1123	0.0	0.0	0.0	0.0	2	cupsd
09:47:42         0	1124	0.0	0.0	0.0	0.0	1	rhsmcertd
09:47:42         0	1132	0.1	0.1	0.0	0.2	1	libvirtd
09:47:42         0	1192	0.0	0.0	0.0	0.0	1	rhnsd
09:47:42         0	1204	0.0	0.0	0.0	0.0	2	atd
09:47:42         0	1206	0.0	0.0	0.0	0.0	3	crond
09:47:42         0	1207	0.1	0.1	0.0	0.2	0	gdm
09:47:42         0	1470	0.0	0.0	0.0	0.0	3	master
09:47:42         89	1471	0.0	0.0	0.0	0.0	2	pickup
09:47:42         89	1472	0.0	0.0	0.0	0.0	1	qmgr
09:47:42         387	1493	0.5	0.7	0.0	1.2	1	pmcd
09:47:42         0	1499	0.0	0.0	0.0	0.0	0	pmdaroot
09:47:42         387	1500	0.1	0.5	0.0	0.6	2	pmdaproc
09:47:42         0	1501	0.0	0.0	0.0	0.0	2	pmdaxfs
09:47:42         0	1502	0.1	0.3	0.0	0.4	1	pmdalinux
09:47:42         0	1503	0.0	0.0	0.0	0.0	3	python
09:47:42         0	1512	0.0	0.0	0.0	0.0	3	pmdadm
09:47:42         0	1625	?	?	?	?	?	pmlogger
09:47:42         0	1629	?	?	?	?	?	pmlogger_check
09:47:42         0	1858	?	?	?	?	?	pmlogger_check
09:47:42         387	1948	0.0	0.0	0.0	0.0	0	pmie
09:47:42         0	2464	1.0	1.0	0.0	2.0	3	X
09:47:42         0	2559	?	?	?	?	?	gdm-session-wor
09:47:42         42	2665	?	?	?	?	?	gnome-session-b
09:47:42         42	2710	?	?	?	?	?	dbus-launch
09:47:42         42	2730	?	?	?	?	?	dbus-daemon
09:47:42         42	2766	?	?	?	?	?	dbus-launch
09:47:42         42	2767	?	?	?	?	?	dbus-daemon
09:47:42         42	2824	?	?	?	?	?	at-spi-bus-laun
09:47:42         42	2836	?	?	?	?	?	dbus-daemon
09:47:42         42	2848	?	?	?	?	?	at-spi2-registr
09:47:42         42	2915	?	?	?	?	?	gnome-shell
09:47:42         0	3002	0.0	0.0	0.0	0.0	2	upowerd
09:47:42         42	3102	0.0	0.1	0.0	0.1	3	pulseaudio
09:47:42         0	3745	0.0	0.0	0.0	0.0	1	systemd-localed
09:47:42         42	3773	?	?	?	?	?	ibus-daemon
09:47:42         42	3796	?	?	?	?	?	ibus-dconf
09:47:42         42	3800	?	?	?	?	?	ibus-x11
09:47:42         994	3932	?	?	?	?	?	geoclue
09:47:42         42	3934	?	?	?	?	?	xdg-permission-
09:47:42         0	3956	0.0	0.0	0.0	0.0	1	wpa_supplicant
09:47:42         0	3972	0.0	0.1	0.0	0.1	0	packagekitd
09:47:42         42	3984	?	?	?	?	?	gnome-settings-
09:47:42         42	3986	0.0	0.0	0.0	0.0	0	spice-vdagent
09:47:42         997	4039	0.0	0.0	0.0	0.0	3	colord
09:47:42         0	4070	0.0	0.0	0.0	0.0	3	fprintd
09:47:42         0	4091	0.0	0.0	0.0	0.0	1	realmd
09:47:42         42	4140	?	?	?	?	?	ibus-engine-sim
09:47:42         387	7141	0.4	0.5	0.0	0.9	2	pmlogger
09:47:42         0	7175	?	?	?	?	?	pmlc
09:47:42         0	7176	?	?	?	?	?	grep

pcp-pidstat output: set reporting timezone to local time of metrics source
Linux  3.10.0-693.el7.x86_64  (localhost.localdomain)  06/20/18  x86_64    (4 CPU)
