QA output created by 1242
Running pmlogextract archives/multi-xz/20150508.11.44 archives/multi-xz/20150508.11.46 archives/multi-xz/20150508.11.50 archives/multi-xz/20150508.11.57 TMP.44+46+50+57.pmlogextract
Running pmrep -a TMP.44+46+50+57.pmlogextract
  n.i.i.bytes  n.i.i.bytes  n.i.i.bytes  n.i.i.bytes  n.i.i.bytes
     7075.000        0.000        0.000        0.000       65.000
     7076.000        0.000        0.000        0.000       65.000
     7075.000        0.000        0.000        0.000       66.000
     7075.000        0.000        0.000        0.000       65.000
     7075.000        0.000        0.000        0.000       65.000
     7075.000        0.000        0.000        0.000       65.000
     7076.000        0.000        0.000        0.000       65.000
     7075.000        0.000        0.000        0.000       65.000
     7075.000        0.000        0.000        0.000       66.000
     7075.000        0.000        0.000        0.000       65.000
     7076.000        0.000        0.000        0.000       65.000
     7075.000        0.000        0.000        0.000       65.000
    23417.000        0.000        0.000        0.000       98.000
    25989.000        0.000        0.000        0.000      103.000
    25990.000        0.000        0.000        0.000      102.000
    25989.000        0.000        0.000        0.000      103.000
    25989.000        0.000        0.000        0.000      103.000
    25989.000        0.000        0.000        0.000      103.000
    25990.000        0.000        0.000        0.000      103.000
    25989.000        0.000        0.000        0.000      103.000
    25989.000        0.000        0.000        0.000      102.000
    25989.000        0.000        0.000        0.000      103.000
    25989.000        0.000        0.000        0.000      103.000
    25990.000        0.000        0.000        0.000      103.000
    25989.000        0.000        0.000        0.000      103.000
    25989.000        0.000        0.000        0.000      103.000
    25989.000        0.000        0.000        0.000      102.000
    25990.000        0.000        0.000        0.000      103.000
    25989.000        0.000        0.000        0.000      103.000
    25989.000        0.000        0.000        0.000      103.000
    25989.000        0.000        0.000        0.000      103.000
    25990.000        0.000        0.000        0.000      102.000
    25989.000        0.000        0.000        0.000      103.000
    25989.000        0.000        0.000        0.000      103.000
    25989.000        0.000        0.000        0.000      103.000
    25989.000        0.000        0.000        0.000      103.000
    25990.000        0.000        0.000        0.000      103.000
    25989.000        0.000        0.000        0.000      102.000
    25989.000        0.000        0.000        0.000      103.000
    25989.000        0.000        0.000        0.000      103.000
    25990.000        0.000        0.000        0.000      103.000
    25989.000        0.000        0.000        0.000      103.000
    25989.000        0.000        0.000        0.000      102.000
    25989.000        0.000        0.000        0.000      103.000
    25989.000        0.000        0.000        0.000      103.000
    25990.000        0.000        0.000        0.000      103.000
    25989.000        0.000        0.000        0.000      103.000
    25989.000        0.000        0.000        0.000      103.000
    25989.000        0.000        0.000        0.000      102.000
    25990.000        0.000        0.000        0.000      103.000
    25989.000        0.000        0.000        0.000      103.000
    25989.000        0.000        0.000        0.000      103.000
    25989.000        0.000        0.000        0.000      103.000
    25989.000        0.000        0.000        0.000      102.000
    25990.000        0.000        0.000        0.000      103.000
    25989.000        0.000        0.000        0.000      103.000
    25989.000        0.000        0.000        0.000      103.000
    25989.000        0.000        0.000        0.000      103.000
    25990.000        0.000        0.000        0.000      103.000
    25989.000        0.000        0.000        0.000      102.000
    25989.000        0.000        0.000        0.000      103.000
    25989.000        0.000        0.000        0.000      103.000
    25990.000        0.000        0.000        0.000      103.000
    25989.000        0.000        0.000        0.000      103.000
    25989.000        0.000        0.000        0.000      102.000
    25989.000        0.000        0.000        0.000      103.000
    25989.000        0.000        0.000        0.000      103.000
    25990.000        0.000        0.000        0.000      103.000
    25989.000        0.000        0.000        0.000      103.000
    25989.000        0.000        0.000        0.000      103.000
    25989.000        0.000        0.000        0.000      102.000
    25990.000        0.000        0.000        0.000      103.000
     6896.000        0.000        0.000        0.000       37.000
     3945.000        0.000        0.000        0.000       26.000
     3944.000        0.000        0.000        0.000       26.000
     3944.000        0.000        0.000        0.000       27.000
     3945.000        0.000        0.000        0.000       26.000
     3944.000        0.000        0.000        0.000       26.000
     3944.000        0.000        0.000        0.000       27.000
     3945.000        0.000        0.000        0.000       26.000
     3944.000        0.000        0.000        0.000       26.000
     3944.000        0.000        0.000        0.000       26.000
     3945.000        0.000        0.000        0.000       27.000
     3944.000        0.000        0.000        0.000       26.000
     3945.000        0.000        0.000        0.000       26.000
     3944.000        0.000        0.000        0.000       27.000
     3944.000        0.000        0.000        0.000       26.000
     3945.000        0.000        0.000        0.000       26.000
     3944.000        0.000        0.000        0.000       27.000
     3944.000        0.000        0.000        0.000       26.000
     3945.000        0.000        0.000        0.000       26.000
     3944.000        0.000        0.000        0.000       26.000
     3944.000        0.000        0.000        0.000       27.000
     3945.000        0.000        0.000        0.000       26.000
     3944.000        0.000        0.000        0.000       26.000
     3945.000        0.000        0.000        0.000       27.000
     3944.000        0.000        0.000        0.000       26.000
     3944.000        0.000        0.000        0.000       26.000
     3945.000        0.000        0.000        0.000       26.000
     3944.000        0.000        0.000        0.000       27.000
     3944.000        0.000        0.000        0.000       26.000
     3945.000        0.000        0.000        0.000       26.000
     3944.000        0.000        0.000        0.000       27.000
     3945.000        0.000        0.000        0.000       26.000
     3944.000        0.000        0.000        0.000       26.000
     3944.000        0.000        0.000        0.000       27.000
     3945.000        0.000        0.000        0.000       26.000
     3944.000        0.000        0.000        0.000       26.000
     3944.000        0.000        0.000        0.000       26.000
     3945.000        0.000        0.000        0.000       27.000
     3944.000        0.000        0.000        0.000       26.000
     3944.000        0.000        0.000        0.000       26.000
     3945.000        0.000        0.000        0.000       27.000
     3944.000        0.000        0.000        0.000       26.000
     3945.000        0.000        0.000        0.000       26.000
     3944.000        0.000        0.000        0.000       27.000
     3944.000        0.000        0.000        0.000       26.000
     3945.000        0.000        0.000        0.000       26.000
