QA output created by 816
Fri Aug  7 07:17:45	3071988.000	196906.000	397816232.000	272.000	0.000	0.067	0.000	0.000	0.000	0.000	0.000	0.000	13425280.000	1.000	3.000
Fri Aug  7 07:18:00	3071988.000	196906.000	397816232.000	272.000	0.067	0.067	0.000	0.000	0.000	0.000	0.000	0.000	13425280.000	1.000	3.000
Fri Aug  7 07:18:15	3071988.000	196906.000	397816232.000	272.000	0.133	0.133	0.000	0.000	0.000	0.000	0.000	0.000	13425280.000	1.000	3.000
Fri Aug  7 07:18:30	3063576.000	196906.000	397861888.000	272.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	13425280.000	1.000	3.000
Fri Aug  7 07:18:45	3063576.000	196906.000	397861888.000	272.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	13425280.000	1.000	3.000
Fri Aug  7 07:19:00	3063576.000	196906.000	397861888.000	272.000	0.067	0.067	0.000	0.000	0.000	0.000	0.000	0.000	13425280.000	1.000	3.000
Fri Aug  7 07:19:15	3063576.000	196906.000	397861888.000	272.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	13425280.000	1.000	3.000
Fri Aug  7 07:19:30	3069716.000	196906.000	397853132.000	272.000	0.067	0.067	0.000	0.000	0.000	0.000	0.000	0.000	13425280.000	1.000	3.000
Fri Aug  7 07:19:45	3069716.000	196906.000	397853132.000	272.000	0.067	0.067	0.000	0.000	0.000	0.000	0.000	0.000	13425280.000	1.000	3.000
Fri Aug  7 07:20:00	3069716.000	196906.000	397853132.000	272.000	0.067	0.067	0.000	0.000	0.000	0.000	0.000	0.000	13425280.000	1.000	3.000
Fri Aug  7 07:20:15	3069716.000	196906.000	397853132.000	272.000	0.133	0.067	0.000	0.000	0.000	0.000	0.000	0.000	13425280.000	1.000	3.000
Fri Aug  7 07:20:30	3075784.000	196906.000	397814592.000	273.000	0.133	0.133	0.000	0.000	0.000	0.000	0.000	0.000	13425280.000	1.000	3.000
Fri Aug  7 07:20:45	3075784.000	196906.000	397814592.000	273.000	0.267	0.267	0.000	0.000	0.000	0.000	0.000	0.000	13425280.000	1.000	3.000
Fri Aug  7 07:21:00	3075784.000	196906.000	397814592.000	273.000	0.267	0.533	0.000	0.000	0.000	0.000	0.000	0.000	13425280.000	1.000	3.000
