QA output created by 064

=== pcp-pidstat with -f formatting of the timestamps
Linux  4.4.0-31-generic  (ram-Lenovo)  08/05/16  x86_64    (4 CPU)
Timestamp                 UID	PID	usr	system	guest	%CPU	CPU	Command
Fri Aug  5 07:35:06 2016  1000	5957	?	?	?	?	3	evolution-addre
Fri Aug  5 07:35:06 2016  1000	5997	?	?	?	?	3	zeitgeist-datah
Fri Aug  5 07:35:06 2016  1000	6004	?	?	?	?	1	sh
Fri Aug  5 07:35:06 2016  1000	6008	?	?	?	?	0	zeitgeist-daemo
Fri Aug  5 07:35:06 2016  1000	6015	?	?	?	?	2	zeitgeist-fts
Fri Aug  5 07:35:06 2016  1000	6051	?	?	?	?	0	atom
Fri Aug  5 07:35:06 2016  1000	6054	?	?	?	?	0	atom
Fri Aug  5 07:35:06 2016  1000	6065	?	?	?	?	3	gconfd-2
Fri Aug  5 07:35:06 2016  1000	6079	?	?	?	?	1	atom
Fri Aug  5 07:35:06 2016  1000	6092	?	?	?	?	0	atom
Fri Aug  5 07:35:06 2016  1000	6158	?	?	?	?	0	update-notifier
Fri Aug  5 07:35:06 2016  1000	6196	?	?	?	?	1	atom
Fri Aug  5 07:35:06 2016  1000	6737	?	?	?	?	0	slack
Fri Aug  5 07:35:06 2016  1000	6741	?	?	?	?	3	slack
Fri Aug  5 07:35:06 2016  1000	6804	?	?	?	?	0	slack
Fri Aug  5 07:35:06 2016  1000	6825	?	?	?	?	0	slack
Fri Aug  5 07:35:06 2016  1000	6937	?	?	?	?	2	slack
Fri Aug  5 07:35:06 2016  1000	6962	?	?	?	?	1	notify-osd
Fri Aug  5 07:35:06 2016  1000	6984	?	?	?	?	1	deja-dup-monito
Fri Aug  5 07:35:06 2016  1000	7001	?	?	?	?	3	chrome
Fri Aug  5 07:35:06 2016  1000	7008	?	?	?	?	1	cat
Fri Aug  5 07:35:06 2016  1000	7009	?	?	?	?	1	cat
Fri Aug  5 07:35:06 2016  1000	7012	?	?	?	?	0	chrome
Fri Aug  5 07:35:06 2016  1000	7014	?	?	?	?	1	nacl_helper
Fri Aug  5 07:35:06 2016  1000	7035	?	?	?	?	0	chrome
Fri Aug  5 07:35:06 2016  1000	7066	?	?	?	?	0	chrome
Fri Aug  5 07:35:06 2016  1000	7071	?	?	?	?	2	chrome
Fri Aug  5 07:35:06 2016  1000	7121	?	?	?	?	0	slack
Fri Aug  5 07:35:06 2016  1000	7150	?	?	?	?	1	chrome
Fri Aug  5 07:35:06 2016  1000	7188	?	?	?	?	2	chrome
Fri Aug  5 07:35:06 2016  1000	7213	?	?	?	?	0	chrome
Fri Aug  5 07:35:06 2016  1000	7217	?	?	?	?	1	chrome
Fri Aug  5 07:35:06 2016  1000	7224	?	?	?	?	0	chrome
Fri Aug  5 07:35:06 2016  1000	7226	?	?	?	?	2	chrome
Fri Aug  5 07:35:06 2016  1000	7227	?	?	?	?	2	chrome
Fri Aug  5 07:35:06 2016  1000	7230	?	?	?	?	2	chrome
Fri Aug  5 07:35:06 2016  1000	7231	?	?	?	?	2	chrome
Fri Aug  5 07:35:06 2016  1000	7232	?	?	?	?	3	chrome
Fri Aug  5 07:35:06 2016  1000	7236	?	?	?	?	2	chrome
Fri Aug  5 07:35:06 2016  1000	7339	?	?	?	?	3	chrome
