QA output created by 1469
QA output created by 1285 --valgrind
=== std out ===
Note: timezone set to local timezone of host "brolley-t530" from archive

proc.psinfo.rss ["021210 (usb-storage)"] 0.000 Kbyte
proc.psinfo.rss ["021349 /usr/libexec/gvfsd-http"] 608.000 Kbyte
proc.psinfo.rss ["022069 /usr/libexec/pcp/bin/pmlogger"] 7378.247 Kbyte
proc.psinfo.rss ["022098 pmsleep"] 0.000 Kbyte
proc.psinfo.rss ["022329 (xfsalloc)"] 0.000 Kbyte
proc.psinfo.rss ["022330 (xfs_mru_cache)"] 0.000 Kbyte
proc.psinfo.rss ["022963 /usr/libexec/gvfsd-network"] 672.000 Kbyte
proc.psinfo.rss ["022978 /usr/libexec/gvfsd-dnssd"] 432.000 Kbyte
proc.psinfo.rss ["023421 /usr/bin/pmie"] 5772.000 Kbyte
proc.psinfo.rss ["029488 (kworker/3:0)"] 0.000 Kbyte
proc.psinfo.rss ["030169 (kworker/u17:2)"] 0.000 Kbyte
proc.psinfo.rss ["031061 (kworker/u16:3)"] 0.000 Kbyte
proc.psinfo.rss ["031201 (irq/28-mei_me)"] 0.000 Kbyte
proc.psinfo.rss ["031202 (irq/16-mmc0)"] 0.000 Kbyte
proc.psinfo.rss ["031288 /sbin/dhclient"] 3692.000 Kbyte
proc.psinfo.rss ["031310 (kworker/2:1)"] 0.000 Kbyte
proc.psinfo.rss ["031501 (kworker/1:3)"] 0.000 Kbyte
proc.psinfo.rss ["031804 (kworker/3:2)"] 0.000 Kbyte
proc.psinfo.rss ["031841 /usr/libexec/pcp/bin/pmproxy"] 4988.000 Kbyte
proc.psinfo.rss ["022447 /bin/sh"] 4659.790 Kbyte
proc.psinfo.rss ["022492 valgrind"] 91839.255 Kbyte
proc.psinfo.rss ["022493 sleep"] 0.000 Kbyte
proc.psinfo.rss ["022845 /usr/libexec/pcp/bin/pmcd"] 0.000 Kbyte
proc.psinfo.rss ["022848 /var/lib/pcp/pmdas/root/pmdaroot"] 0.000 Kbyte
proc.psinfo.rss ["022849 /var/lib/pcp/pmdas/proc/pmdaproc"] 0.000 Kbyte
proc.psinfo.rss ["022850 /var/lib/pcp/pmdas/xfs/pmdaxfs"] 0.000 Kbyte
proc.psinfo.rss ["022851 /var/lib/pcp/pmdas/sample/pmdasample"] 0.000 Kbyte
proc.psinfo.rss ["022852 /var/lib/pcp/pmdas/linux/pmdalinux"] 0.000 Kbyte
proc.psinfo.rss ["022853 perl"] 0.000 Kbyte
proc.psinfo.rss ["022854 /var/lib/pcp/pmdas/simple/pmdasimple"] 0.000 Kbyte
proc.psinfo.rss ["022872 sleep"] 0.000 Kbyte
proc.psinfo.rss ["023281 /usr/libexec/pcp/bin/pmcd"] 5864.000 Kbyte
proc.psinfo.rss ["023284 /var/lib/pcp/pmdas/root/pmdaroot"] 5212.000 Kbyte
proc.psinfo.rss ["023285 /var/lib/pcp/pmdas/proc/pmdaproc"] 6532.000 Kbyte
proc.psinfo.rss ["023286 /var/lib/pcp/pmdas/xfs/pmdaxfs"] 3628.000 Kbyte
proc.psinfo.rss ["023287 /var/lib/pcp/pmdas/sample/pmdasample"] 5380.000 Kbyte
proc.psinfo.rss ["023288 /var/lib/pcp/pmdas/linux/pmdalinux"] 5316.000 Kbyte
proc.psinfo.rss ["023289 perl"] 9676.000 Kbyte
proc.psinfo.rss ["023290 /var/lib/pcp/pmdas/simple/pmdasimple"] 5156.000 Kbyte
proc.psinfo.rss ["023322 sh"] 0.000 Kbyte
proc.psinfo.rss ["023324 /bin/sh"] 0.000 Kbyte
proc.psinfo.rss ["023664 /usr/bin/pmie"] 5856.000 Kbyte
proc.psinfo.rss ["023872 /bin/sh"] 0.000 Kbyte
proc.psinfo.rss ["024241 sleep"] 0.000 Kbyte
proc.psinfo.rss ["030470 sleep"] 0.000 Kbyte
proc.psinfo.rss ["031276 /usr/bin/pmlogger"] 0.000 Kbyte
proc.psinfo.rss ["003826 sleep"] 0.000 Kbyte
proc.psinfo.rss ["031685 /usr/libexec/pcp/bin/pmcd"] 0.000 Kbyte
proc.psinfo.rss ["031688 /var/lib/pcp/pmdas/root/pmdaroot"] 0.000 Kbyte
