QA output created by 1303
Device Mapper
--dmcache1- ----system----
 read  writ|     time     
   0     0 :4877k 4096B:4877k 8192B|01-08 14:37:02.247
   0     0 :1478k 2048B:1478k 4096B|01-08 14:37:03.247
   0     0 :1405k 2048B:1405k 4096B|01-08 14:37:04.247
   0     0 :5365k 1386k:5365k 5967k|01-08 14:37:05.247
   0     0 :5215k  226k:5219k 1076k|01-08 14:37:06.247
   0     0 :5863k 4096B:5863k   10k|01-08 14:37:07.247
   0     0 :3208k  485k:3211k 1946k|01-08 14:37:08.247
   0     0 :3695k  655k:3696k 3087k|01-08 14:37:09.247
   0     0 :5810k  504k:5810k 2510k|01-08 14:37:10.247
   0     0 :1972k 4096B:1972k 8192B|01-08 14:37:11.247
   0     0 :3695k 6144B:3697k   22k|01-08 14:37:12.247
   0     0 :3768k  830k:4614k  834k|01-08 14:37:13.247
   0     0 :2865k 4096B:2879k 8192B|01-08 14:37:14.247
   0     0 :3284k  278k:3604k  282k|01-08 14:37:15.247
   0     0 :2875k 2933k:2980k 4579k|01-08 14:37:16.247
   0     0 :3395k 6450k:3687k 8045k|01-08 14:37:17.247
   0     0 :  21M 7951k:  22M   25M|01-08 14:37:18.247
   0     0 :9501k 4096B:  10M 8180k|01-08 14:37:19.247
   0     0 : 880k 4096B:2590k  776k|01-08 14:37:20.247
   0     0 :1131k 4096B:2248k  779k|01-08 14:37:21.247
   0     0 :2636k 4096B:4405k 2319k|01-08 14:37:22.247
   0     0 :4377k 4096B:5996k 3622k|01-08 14:37:23.247
   0     0 :1487k 4096B:3394k  794k|01-08 14:37:24.247
   0     0 :6885k 4096B:7882k 6338k|01-08 14:37:25.247
   0     0 :8822k 4096B:  10M 8516k|01-08 14:37:26.247
   0     0 :3875k 4096B:5149k 3083k|01-08 14:37:27.247
   0     0 :3998k 4096B:4829k 4635k|01-08 14:37:28.247
   0     0 :6943k 4096B:7455k 6149k|01-08 14:37:29.247
   0     0 :5394k 4096B:5920k 5366k|01-08 14:37:30.247
   0     0 :1555k 4096B:2682k 1555k|01-08 14:37:31.247
   0     0 : 866k 4096B:1719k  788k|01-08 14:37:32.247
   0     0 :7976k 4096B:9289k 6929k|01-08 14:37:33.247
   0     0 :6165k 4096B:7314k 5430k|01-08 14:37:34.247
   0     0 :  19M 4096B:  19M   18M|01-08 14:37:35.247
   0     0 :  22M 4096B:  22M   20M|01-08 14:37:36.247
   0     0 :  14M 4096B:  14M   12M|01-08 14:37:37.247
   0     0 :5721k 2487k:8341k 5327k|01-08 14:37:38.247
   0     0 :1662k 1649k:3525k 1686k|01-08 14:37:39.247
   0     0 :1039k 3613k:4794k 3677k|01-08 14:37:40.247
   0     0 :1473k 3837k:5370k 3841k|01-08 14:37:41.247
   0     0 :1133k 4454k:5618k 4457k|01-08 14:37:42.247
   0     0 :1361k 2423k:3844k 2594k|01-08 14:37:43.247
   0     0 :2568k 1547k:4299k 3258k|01-08 14:37:44.247
   0     0 :3299k 3557k:6004k 6213k|01-08 14:37:45.247
   0     0 :2117k 3140k:2880k 4784k|01-08 14:37:46.247
   0     0 :3135k   16M:3779k   20M|01-08 14:37:47.247
   0     0 : 886k 8192B:1968k  790k|01-08 14:37:48.247

